INFO 2025-01-18 23:13:31,603 autoreload 16696 20820 Watching for file changes with StatReloader
INFO 2025-01-18 23:13:58,449 basehttp 16696 20716 "POST /api/token/ HTTP/1.1" 200 483
INFO 2025-01-18 23:13:59,188 basehttp 16696 20716 "GET /api/users/get_current_user/ HTTP/1.1" 200 170
INFO 2025-01-18 23:13:59,331 basehttp 16696 10912 "GET /api/projects/ HTTP/1.1" 200 1938
INFO 2025-01-18 23:13:59,673 basehttp 16696 19124 "GET /media/avatars/1.png HTTP/1.1" 200 890861
INFO 2025-01-18 23:14:00,613 basehttp 16696 10912 "GET /api/users/get_current_user/ HTTP/1.1" 200 170
INFO 2025-01-18 23:14:00,620 basehttp 16696 20716 "GET /api/folders/?project=1 HTTP/1.1" 200 2702
INFO 2025-01-18 23:14:00,703 basehttp 16696 20716 "GET /api/testcases/?project=1 HTTP/1.1" 200 6570
INFO 2025-01-18 23:14:02,205 basehttp 16696 20716 "GET /api/testcases/14/ HTTP/1.1" 200 908
INFO 2025-01-18 23:14:02,285 basehttp 16696 20716 "GET /api/check-test-existence/14/ HTTP/1.1" 200 31
INFO 2025-01-18 23:14:08,786 basehttp 16696 20716 "GET /api/check-test-existence/14/ HTTP/1.1" 200 31
INFO 2025-01-18 23:14:08,906 basehttp 16696 20716 "POST /api/testcases/14/execute/ HTTP/1.1" 200 72
INFO 2025-01-18 23:14:46,426 basehttp 16696 20716 "GET /api/users/get_current_user/ HTTP/1.1" 200 170
INFO 2025-01-18 23:14:46,449 basehttp 16696 10912 "GET /api/projects/ HTTP/1.1" 200 1938
INFO 2025-01-18 23:14:46,544 basehttp 16696 10912 "GET /api/users/get_current_user/ HTTP/1.1" 200 170
INFO 2025-01-18 23:14:46,549 basehttp 16696 20716 "GET /api/folders/?project=1 HTTP/1.1" 200 2702
INFO 2025-01-18 23:14:46,811 basehttp 16696 20716 "GET /api/testcases/?project=1 HTTP/1.1" 200 6570
INFO 2025-01-18 23:15:27,180 basehttp 16696 20716 "GET /api/testcases/14/ HTTP/1.1" 200 908
INFO 2025-01-18 23:15:27,266 basehttp 16696 20716 "GET /api/check-test-existence/14/ HTTP/1.1" 200 31
INFO 2025-01-18 23:15:29,565 basehttp 16696 20716 "GET /api/check-test-existence/14/ HTTP/1.1" 200 31
INFO 2025-01-18 23:15:29,627 basehttp 16696 20716 "POST /api/testcases/14/execute/ HTTP/1.1" 200 72
INFO 2025-01-18 23:17:26,661 basehttp 16696 20716 "GET /api/users/get_current_user/ HTTP/1.1" 200 170
INFO 2025-01-18 23:17:26,664 basehttp 16696 10912 "GET /api/folders/?project=1 HTTP/1.1" 200 2702
INFO 2025-01-18 23:17:26,762 basehttp 16696 10912 "GET /api/testcases/?project=1 HTTP/1.1" 200 6570
INFO 2025-01-18 23:17:28,159 basehttp 16696 10912 "GET /api/testcases/14/ HTTP/1.1" 200 908
INFO 2025-01-18 23:17:28,242 basehttp 16696 10912 "GET /api/check-test-existence/14/ HTTP/1.1" 200 31
INFO 2025-01-18 23:17:33,039 basehttp 16696 10912 "GET /api/check-test-existence/14/ HTTP/1.1" 200 31
INFO 2025-01-18 23:17:33,115 basehttp 16696 10912 "POST /api/testcases/14/execute/ HTTP/1.1" 200 72
INFO 2025-01-18 23:18:10,953 basehttp 16696 10912 "GET /api/users/get_current_user/ HTTP/1.1" 200 170
INFO 2025-01-18 23:18:10,999 basehttp 16696 20716 "GET /api/folders/?project=1 HTTP/1.1" 200 2702
INFO 2025-01-18 23:18:11,081 basehttp 16696 21332 "GET /api/users/get_current_user/ HTTP/1.1" 200 170
INFO 2025-01-18 23:18:11,112 basehttp 16696 20716 "GET /api/testcases/?project=1 HTTP/1.1" 200 6570
INFO 2025-01-18 23:18:11,157 basehttp 16696 16772 "GET /api/projects/ HTTP/1.1" 200 1938
INFO 2025-01-18 23:19:08,797 autoreload 19528 18624 Watching for file changes with StatReloader
INFO 2025-01-18 23:20:03,624 basehttp 19528 21948 "GET /api/testcases/14/ HTTP/1.1" 200 908
INFO 2025-01-18 23:20:03,703 basehttp 19528 21948 "GET /api/check-test-existence/14/ HTTP/1.1" 200 31
